policy_생계급여,policy_의료급여,policy_주거급여,policy_교육급여,policy_공적연금,policy_고용보험,policy_산재보험,policy_자활근로,age,gender,household_size,marriage,edu,job_yn,employ_type,income_monthly,income_annual,region,hc,pension_type,health_insurance
0,0,0,0,0.0,0.0,0.0,0,52,남,3,미혼,대학이상,취업,상용근로자,632.3,7588.0,3,1,2,1
0,0,0,0,0.0,0.0,0.0,0,22,남,3,미혼,대학이상,미취업,무직,632.3,7588.0,3,1,0,2
0,0,0,0,1.0,0.0,0.0,0,85,남,1,미혼,대학이상,미취업,무직,162.8,1953.0,3,2,1,2
0,0,0,0,,,,0,19,여,3,미혼,대학이상,미취업,무직,632.3,7588.0,3,1,0,2
0,0,0,0,1.0,0.0,0.0,0,73,남,2,기혼,대학이상,취업,고용원있는사업자,214.2,2571.0,3,2,1,2
0,0,0,0,0.0,0.0,0.0,0,71,여,2,기혼,대학이상,미취업,무직,214.2,2571.0,3,2,0,2
0,0,0,0,1.0,0.0,0.0,0,74,남,2,기혼,대학이상,미취업,무직,310.0,3720.0,3,1,1,2
0,0,0,0,0.0,0.0,0.0,0,73,여,2,기혼,대학이상,취업,임시일용근로자,310.0,3720.0,3,1,0,2
1,1,1,0,0.0,0.0,0.0,0,78,여,3,미혼,고졸이하,미취업,무직,482.8,5793.0,3,1,0,2
1,1,1,0,0.0,0.0,0.0,0,53,남,3,미혼,고졸이하,취업,임시일용근로자,482.8,5793.0,3,1,2,1
1,1,1,0,0.0,0.0,0.0,0,57,남,3,미혼,고졸이하,미취업,무직,482.8,5793.0,3,1,0,5
0,0,0,0,0.0,0.0,0.0,0,87,남,2,기혼,대학이상,미취업,무직,98.2,1179.0,3,2,0,2
0,0,0,0,,,,0,83,여,2,기혼,대학이상,미취업,무직,98.2,1179.0,3,2,0,2
0,0,0,0,1.0,0.0,0.0,0,85,여,1,미혼,대학이상,취업,임시일용근로자,161.0,1932.0,3,2,1,2
0,0,0,0,0.0,0.0,0.0,0,36,남,1,미혼,대학이상,취업,임시일용근로자,268.2,3218.0,3,1,2,1
0,0,0,0,1.0,0.0,0.0,0,82,남,2,기혼,고졸이하,취업,고용원있는사업자,261.8,3142.0,3,1,1,2
0,0,0,0,0.0,0.0,0.0,0,75,여,2,기혼,고졸이하,취업,고용원있는사업자,261.8,3142.0,3,1,0,1
0,0,0,0,0.0,0.0,0.0,0,44,남,4,기혼,고졸이하,취업,상용근로자,895.3,10744.0,3,1,2,1
0,0,0,0,0.0,0.0,0.0,0,41,여,4,기혼,고졸이하,미취업,무직,895.3,10744.0,3,1,0,2
0,0,0,0,,,,0,12,여,4,미혼,고졸이하,미취업,무직,895.3,10744.0,3,1,0,2
0,0,0,0,,,,0,8,남,4,미혼,고졸이하,미취업,무직,895.3,10744.0,3,1,0,2
0,0,0,0,1.0,0.0,0.0,0,88,여,1,미혼,대학이상,미취업,무직,148.9,1787.0,3,2,1,2
0,0,0,0,1.0,0.0,0.0,0,76,여,1,미혼,대학이상,취업,고용원있는사업자,176.8,2121.0,3,2,1,3
0,0,0,0,0.0,0.0,0.0,0,54,여,1,미혼,대학이상,취업,상용근로자,1262.0,15144.0,2,1,2,1
0,0,0,0,1.0,0.0,0.0,0,73,남,2,기혼,대학이상,미취업,무직,226.1,2713.0,3,2,1,2
0,0,0,0,0.0,0.0,0.0,0,69,여,2,기혼,대학이상,미취업,무직,226.1,2713.0,3,2,0,2
0,0,0,0,0.0,0.0,0.0,0,44,여,4,기혼,대학이상,취업,상용근로자,843.2,10118.0,3,1,2,1
0,0,0,0,0.0,0.0,0.0,0,42,여,4,기혼,대학이상,취업,고용원없는자영자,790.2,9482.0,3,1,2,3
0,0,0,0,0.0,0.0,0.0,0,17,남,4,미혼,대학이상,미취업,무직,843.2,10118.0,3,1,0,2
0,0,0,0,,,,0,12,남,4,미혼,대학이상,미취업,무직,843.2,10118.0,3,1,0,2
0,0,0,0,0.0,0.0,0.0,0,47,남,4,기혼,대학이상,취업,무급가족종사자,843.2,10118.0,3,1,2,3
